<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
GAZP,0,20121008,104932,158.37000,10
GAZP,0,20121008,104932,158.37000,50
GAZP,0,20121008,104932,158.37000,3000
GAZP,0,20121008,104932,158.38000,1000
GAZP,0,20121008,104932,158.38000,9000
GAZP,0,20121008,104932,158.39000,100
GAZP,0,20121008,104932,158.39000,10
GAZP,0,20121008,104932,158.39000,1000
GAZP,0,20121008,104932,158.39000,300
GAZP,0,20121008,104932,158.39000,10
GAZP,0,20121008,104932,158.39000,350
GAZP,0,20121008,104932,158.38000,30
GAZP,0,20121008,104932,158.38000,30
GAZP,0,20121008,104932,158.38000,30
GAZP,0,20121008,104932,158.38000,30
GAZP,0,20121008,104932,158.38000,30
GAZP,0,20121008,104932,158.38000,30
GAZP,0,20121008,104932,158.38000,200
GAZP,0,20121008,104933,158.38000,440
GAZP,0,20121008,104937,158.37000,6300
GAZP,0,20121008,104944,158.36000,150
GAZP,0,20121008,104944,158.37000,2060
GAZP,0,20121008,104944,158.38000,2000
GAZP,0,20121008,104944,158.39000,2000
GAZP,0,20121008,104955,158.37000,10
GAZP,0,20121008,105001,158.31000,10
GAZP,0,20121008,105001,158.30000,230
GAZP,0,20121008,105002,158.37000,150
GAZP,0,20121008,105002,158.38000,330
GAZP,0,20121008,105003,158.37000,150
GAZP,0,20121008,105011,158.31000,150
GAZP,0,20121008,105011,158.30000,250
GAZP,0,20121008,105011,158.30000,200
GAZP,0,20121008,105012,158.30000,200
GAZP,0,20121008,105012,158.30000,400
GAZP,0,20121008,105012,158.30000,400
GAZP,0,20121008,105012,158.35000,10
GAZP,0,20121008,105012,158.36000,20
GAZP,0,20121008,105013,158.30000,400
GAZP,0,20121008,105013,158.30000,400
GAZP,0,20121008,105013,158.30000,400
GAZP,0,20121008,105013,158.30000,400
GAZP,0,20121008,105013,158.30000,400
GAZP,0,20121008,105013,158.30000,300
GAZP,0,20121008,105014,158.30000,400
GAZP,0,20121008,105014,158.30000,400
GAZP,0,20121008,105015,158.30000,300
GAZP,0,20121008,105015,158.30000,200
GAZP,0,20121008,105015,158.30000,200
GAZP,0,20121008,105016,158.30000,400
GAZP,0,20121008,105016,158.30000,300
GAZP,0,20121008,105016,158.36000,100
GAZP,0,20121008,105016,158.36000,1500
GAZP,0,20121008,105016,158.36000,10
GAZP,0,20121008,105016,158.36000,2000
GAZP,0,20121008,105016,158.36000,1200
GAZP,0,20121008,105016,158.37000,400
